614742,OC-04 -004-001-0002,200.0
614742,50119,1000.0
614742,58585,2000.0
614742,ES1100,2000.0
614798,EDGE-01U-SP,12.0
614798,ECM-UM12-05-93Q,40.0
614798,Z757548QLZ88U007M,4.0
614798,Z757524QLZ88U008M,1.0
614798,Z757524QLZ88U009M,1.0
614798,Z757524QLZ88U010M,1.0
614798,Z757524QLZ88U011M,1.0
614798,Z757524QLZ88U012M,1.0
614798,Z757524QLZ88U013M,1.0
614798,Z757524QLZ88U014M,1.0
614798,Z757524QLZ88U015M,1.0
614798,KAXCSV-02408-C001,10.0
614798,CCABDB-FI685-A070-C0,8.0
614798,CCABDB-FI685-A080-C0,4.0
614798,CCABDB-FI685-A090-C0,4.0
614798,CCABDB-FI685-A100-C0,4.0
614798,CCABDB-FI685-A110-C0,4.0
614798,CCABDB-FI685-A120-C0,4.0
614798,CCABDB-FI685-A130-C0,4.0
614798,CCABDB-FI685-A140-C0,4.0
614798,CCABDB-FI685-A150-C0,4.0
614764,EDGE-01U-SP,17.0
614764,ECM-UM12-05-93Q,70.0
614764,Z757524QLZ88U007M,1.0
614764,Z757524QLZ88U008M,1.0
614764,Z757524QLZ88U009M,1.0
614764,Z757524QLZ88U010M,1.0
614764,Z757524QLZ88U011M,1.0
614764,Z757524QLZ88U012M,1.0
614764,Z757548QLZ88U013M,1.0
614764,Z757548QLZ88U014M,1.0
614764,Z757524QLZ88U015M,1.0
614764,Z757524QLZ88U016M,1.0
614764,Z757524QLZ88U017M,1.0
614764,Z757524QLZ88U018M,1.0
614764,Z757524QLZ88U019M,1.0
614764,EDGE-02U,1.0
614764,KAXCSV-02408-C001,13.0
614764,CCABDB-FI685-A070-C0,4.0
614764,CCABDB-FI685-A080-C0,4.0
614764,CCABDB-FI685-A090-C0,4.0
614764,CCABDB-FI685-A100-C0,4.0
614764,CCABDB-FI685-A110-C0,4.0
614764,CCABDB-FI685-A120-C0,4.0
614764,CCABDB-FI685-A130-C0,4.0
614764,CCABDB-FI685-A140-C0,4.0
614764,CCABDB-FI685-A150-C0,4.0
614764,CCABDB-FI685-A160-C0,4.0
614764,CCABDB-FI685-A170-C0,4.0
614764,CCABDB-FI685-A180-C0,4.0
614764,CCABDB-FI685-A190-C0,4.0
614765,STFP_F_00545525,300.0
614765,OC-13 -013-026-0004,100.0
614765,LP-FXN-BLT-RFG-GL0620NW,20000.0
614736,EDGE-01U-SP,11.0
614736,ECM-UM12-05-93Q,26.0
614736,Z757524QLZ88U007M,1.0
614736,Z757524QLZ88U008M,1.0
614736,Z757548QLZ88U009M,1.0
614736,Z757548QLZ88U010M,1.0
614736,Z757524QLZ88U011M,1.0
614736,Z757524QLZ88U012M,1.0
614736,Z757524QLZ88U013M,1.0
614736,Z757524QLZ88U014M,1.0
614736,Z757524QLZ88U016M,1.0
614736,KAXCSV-02408-C001,11.0
614736,CCABDB-FI685-A070-C0,4.0
614736,CCABDB-FI685-A080-C0,4.0
614736,CCABDB-FI685-A090-C0,4.0
614736,CCABDB-FI685-A100-C0,4.0
614736,CCABDB-FI685-A110-C0,4.0
614736,CCABDB-FI685-A120-C0,4.0
614736,CCABDB-FI685-A130-C0,4.0
614736,CCABDB-FI685-A140-C0,4.0
614736,CCABDB-FI685-A150-C0,4.0
614736,CCABDB-FI685-A160-C0,4.0
614736,CCABDB-FI685-A170-C0,4.0
614739,13-0390-00008,15.0
614739,451DC,500.0
614741,M7C-2000-595-YL,10.0
614741,25-0301-00018,180.0
614737,23-0305-00006,1014.0
614737,IPG4141203000H,100.0
614737,52171.75,500.0
614737,451DC,3000.0
614737,STC-52C1,500.0
614737,461DC,3000.0
614737,ES1075,3000.0
614737,PMD-HT-0279,120.0
614737,58585,500.0
614737,CFSC075,3000.0
614738,23-0305-00006,1521.0
614735,40MM ROOFING BOLT,2000.0
614775,53-4401-00007,3.0
614775,PMD-HT-0257,100.0
614775,53-4203-00007,100.0
614775,53-4201-00078,100.0
614775,11-2501-00006,20.0
614775,11-2536-00002,1.0
614775,RQC801A45H,1.0
614775,31-1601-00004,250.0
614775,13-3508-00007,50.0
614775,OC-13 -013-028-0009,50.0
614775,25-0301-00017,50.0
614775,49-2006-00009,50.0
614775,OC-29 -029-013-0001,1000.0
614775,PMD-HT-0329,200.0
614775,13-3509-00013,100.0
614779,LP-FXN-BLT-RFG-GL0620NW,15000.0
614797,048ERU-T3122A2G,2000.0
614774,CCHE-CS24-AE-P00RE,50.0
614757,21-3690-00017,50.0
614757,21-3690-00016,50.0
614757,21-3690-00018,50.0
614757,50119,5000.0
614757,OC-13 -013-028-0005,3000.0
614776,23-0305-00006,845.0
614776,DCV3,300.0
614776,IPG4141203000H,100.0
614776,461DC,2000.0
614776,13-3311-00005,300.0
614776,PMD-HT-0279,60.0
614776,M7C-375-422,20.0
614776,M7R-6000,10.0
614777,13-3390-00008,6.0
614762,BSP-4,300.0
